French,Spanish
je,yo
de,de
est,Este
pas,no
le,la
vous,vosotras
la,la
tu,tú
que,que
un,un
il,Él
et,y
à,a
a,a
ne,nacido
les,la
on,nosotros
ça,eso
une,un
ai,tener
pour,para
des,desde
moi,yo
qui,OMS
y,allí
mais,Pero
me,yo
dans,dentro
du,de
bien,bien
elle,ella
si,Si
tout,todo
plus,Más
non,No
mon,mi
suis,soy
te,tú
au,a
avec,con
va,Vamos
oui,si
toi,tú
fait,hecho
ils,ellos
as,as
être,estar
faire,hacer
se,él mismo
comme,como
était,estaba
sur,sobre
quoi,qué
ici,aquí
sais,saber
lui,él
veux,desear
ma,mi
là,la
rien,nada
dit,dijo
es,ES
où,o
votre,tu
sont,están
cette,este
quand,cuando
par,por
son,su
ton,tu
peux,puedo
vais,voy a
dire,decir
alors,entonces
comment,¿Cómo? 'O' ¿Qué
avez,tener
bon,Bien
ou,o
très,muy
merci,Gracias
ont,tienen
même,incluso
jamais,Nunca
aussi,también
voir,ver
chose,cosa
allez,yendo
tous,todas
deux,de ellos
ces,estas
faut,debería
sa,su
êtes,son
été,Verano
ta,tu
fais,hacer
avoir,haber
peut,puede
autre,otro
m,metro
encore,otra vez
maintenant,Ahora
peu,pequeño
mes,mi
vraiment,De Verdad
temps,hora
notre,nuestra
toujours,siempre
vie,vida
sans,sin
juste,justa
oh,Oh
avait,tenía
accord,acuerdo
vu,visto
monde,mundo
quelque,algunos
fois,veces
aller,Vamos
trop,demasiado
viens,ven
crois,pensar
dieu,Dios
dois,debo
père,papá
sûr,sobre
aux,al
leur,su
avant,antes de
étais,fue
besoin,necesitar
femme,mujer
aime,amor
personne,nadie
avais,tenido
chez,en
vrai,real
ans,años
mal,mal
ses,su
parler,hablar
vos,tu
après,después
mort,muerte
veut,quiere
eu,tenido
sera,estarán
bonne,buena
parce,por
mieux,mejor
petit,pequeño
voilà,listo
tes,tu
ca,eso
dis,contar
beaucoup,mucho
depuis,desde
doit,debe
vois,ver
mère,madre
vas,yendo
monsieur,señor
quel,qué
déjà,ya
fille,niña
gens,personas
donc,Entonces
jour,día
soir,noche
autres,otro
ii,ii
toute,toda
ll,Eso
maison,Casa
nom,apellido
argent,dinero
nos,nuestra
ouais,Si
pense,pensamiento
merde,mierda
nuit,noche
papa,papá
cela,eso
salut,Hola
cet,esta
avons,tenemos
reste,descanso
désolé,Lo siento
maman,mamá
peur,temor
arrive,ven
seul,Sólo
vite,con rapidez
prendre,tomar
regarde,mirado
air,aire
soit,es
trois,tres
quelle,qué
passé,pasado
savoir,saber
plaît,Por favor
choses,cosas
moins,menos
fils,hijo
entre,Entre
bas,bajo
appelle,llamada
passe,pasado
ah,decir ah
tête,cabeza
demain,mañana
grand,grande
arrête,detenido
faites,hacer
voulez,desear
hé,Oye
attends,Espere
hein,eh
enfants,niños
assez,suficiente
raison,razón
aurais,haría
voulais,querido
elles,ellas
parle,hablar
ok,bueno
jours,dias
dû,de
moment,momento
heure,hora
puis,después
gars,chicos
amour,amor
tard,tarde
toutes,todas
sommes,somos
tuer,matar
eh,eh
ami,amigo
connais,saber
petite,pequeña
aider,ayudar
chance,suerte
savez,saber
partir,"Marcharse, irse"
sait,saber
combien,Cuánto cuesta
voiture,carro
tant,entonces
pris,tomado
part,Vamos
problème,problema
prends,tomar
porte,puerta
coup,carrera
serait,sería
venir,ven
hui,hui
famille,familia
travail,trabajo
pu,podría
seule,solamente
sens,sentido
ni,o
allons,vamonos
revoir,ver otra vez
idée,idea
putain,puta
passer,gastar
contre,en contra
comprends,entender
entendu,Escuchó
trouvé,encontrar
trouver,encontrar
vieux,antiguo
vient,sólo
pendant,durante
aurait,tendría
quelques,algunas
attention,atención
demande,solicitud
chercher,buscar
sous,debajo
voici,aquí está
pourrait,podría
sang,sangre
pouvez,pueden
sortir,salir
question,pregunta
histoire,historia
amis,amigos
venez,ven
frère,hermano
rester,permanecer
fini,terminado
ville,ciudad
nouveau,nuevo
truc,cosa
tiens,aquí
eux,ellos
mec,chico
yeux,ojos
laisse,Correa
super,Excelente
belle,precioso
longtemps,mucho tiempo
police,policía
eau,agua
heures,horas
car,porque
importe,importado
cas,caso
vont,será
chaque,cada
terre,Tierra
place,cuadrado
tué,matar
type,tipo
main,mano
ensemble,juntos
seulement,solamente
guerre,guerra
beau,hermoso
vers,hacia
mme,señora
prie,orar
devant,delante
trouve,encontrar
partie,parte
suite,después
compris,entendido
matin,Mañana
leurs,su
aucun,No
arrivé,ven
dessus,encima
chérie,Cariño
mettre,poner
aide,Ayuda
étaient,fueron
ie,es decir
perdu,perdió
fin,fin
sois,ser
premier,primero
genre,tipo
aimerais,gustaria
droit,correcto
donne,dado
attendez,Espere
jeune,joven
feu,fuego
devrais,debería
enfant,niño
chambre,habitación
gros,grueso
côté,lado
venu,vino
loin,lejos
laisser,dejar
donner,dar
jouer,jugar
savais,sabía
compte,cuenta
s,s
parlé,hablar
minutes,minutos
regardez,Mira
train,tren
première,primero
pouvoir,poder
aura,tendrá
dernière,último
donné,dado
ia,I a
mari,marido
écoute,escucha
enfin,finalmente
devrait,debería
mis,metido
film,película
aucune,ninguna
fort,fuerte
façon,camino
pays,país
prêt,listo
femmes,mujer
affaire,caso
pourrais,podría
espère,esperanza
parti,izquierda
h,h
boulot,trabajo
endroit,sitio
fou,loco
corps,cuerpo
hier,ayer
dont,cuyo
désolée,lo siento
grande,grande
point,punto
cinq,cinco
dehors,fuera de
filles,chicas
cause,porque
vivre,vivir
près,cerca
pensais,pensamiento
garçon,niño
chef,jefe
haut,alto
capitaine,capitán
dirait,diría
bébé,Bebé
celui,el único
demandé,solicitud
possible,posible
mains,manos
ainsi,entonces
quatre,cuatro
nouvelle,nueva
années,años
plein,lleno
semaine,semana
dites,decir
croire,creer
marche,mercado
tour,torre
école,Escuela
manger,comer
plutôt,más bien
ceux,aquellos
vérité,verdad
vue,ver
arrêter,parar
essaie,tratar
envie,deseo
bientôt,pronto
instant,momento
dernier,último
affaires,negocio
arriver,llegar
demander,solicitud
meilleur,mejor
font,hacen
derrière,detrás
c,vs
dollars,dólares
presque,casi
dr,Dr
tellement,tanto
tomber,otoño
journée,día
voulait,quería
appeler,llamada
bureau,despacho
confiance,confiar
garde,mantener
attendre,esperar
numéro,número
serai,será
dur,difícil
á,a
souviens,recuerda
o,o
voyez,ver
cours,clase
bonsoir,Buena noches
route,la carretera
fera,será
prend,tomar
cul,culo
abord,a bordo
important,importante
peine,problema
croyais,pensamiento
mot,palabra
devez,debe
suffit,suficiente
minute,minuto
ferme,granja
ben,ben
plaisir,Placer
chien,perro
jeu,Juego
seigneur,Señor
messieurs,caballeros
calme,calma
pomme,Manzana
